factual_id	name	address	address_extended	po_box	locality	region	post_town	admin_region	postcode	country	tel	fax	latitude	longitude	neighborhood	website	email	category_ids	category_labels	status	chain_name	chain_id
b716c681-ad67-4c9c-aab4-7f5fb39e3e11	Bt Newby Heating and Air Conditioning	5601 Jessup Meadows Dr			North Chesterfield	VA			23234	us	(804) 241-6736		37.441295	-77.501949			btnewbybuilder@tds.net	["247"]	["Services and Supplies","Home Improvement","Heating, Ventilating and Air Conditioning"]	1		
07bc1fc4-084f-4ec0-a161-1a363857071b	Blasus	8120 Edgewater Ln			Burton	TX			77835	us	(979) 289-5031		30.279511	-96.638227				["177"]	["Services and Supplies"]	1		
731b17c0-1e18-012f-0643-0030487f54d8	Palm Beach Radio Broadcasting	901 Northpoint Pkwy	Ste 303		West Palm Beach	FL			33407	us	(561) 471-3600		26.762625	-80.094699				["215"]	["Services and Supplies","Entertainment","Media"]	1		
eb2f496d-da83-4be1-9ba7-13b32fd465fa	Robert Bryant's Sweeping Paint	6017 Robert Dr			Malden	MO			63863	us	(573) 276-3683		36.562135	-90.065503				["239"]	["Services and Supplies","Home Improvement","Contractors"]	1		
59e079c4-cb58-4d0f-854a-671157dfcb55	Finish Line	6555 E Southern Ave	Ste 2518		Mesa	AZ			85206	us	(480) 854-6998		33.393748	-111.689555	["Superstition Springs"]	http://www.finishline.com		["145"]	["Retail","Fashion","Shoes"]	1		
32915ace-70a8-4396-8ab3-d60165bf25a2	The Lounge Around	137 S Main St			Medford	WI			54451	us	(715) 748-3135		45.138335	-90.345507				["312"]	["Social","Bars"]	1		
a1b8775c-47a2-48d6-8319-618c212e6be6	Church of Ifa	5300 NW 77th Ct			Doral	FL			33166	us	(305) 593-8258		25.821686	-80.321981	["Medley"]			["53"]	["Community and Government","Religious"]	1		
7ba6a100-1e18-012f-0643-0030487f54d8	Homeboys Fish and Grill	1813 Garner Rd			Raleigh	NC			27610	us	(919) 851-7345		35.757364	-78.631407				["347"]	["Social","Food and Dining","Restaurants"]	1		
95231cfd-638c-4839-9d5b-a7e0b22ce1ad	Allergy One/Air Purifier Center	745 E Locust Ave	Ste 107		Fresno	CA			93720	us	(559) 432-1900		36.840374	-119.772475		http://www.allergyone.com				1		
a40d5bf7-d1a5-4cc8-aa09-078f3b3ebde6	Apex Title Agency	445 Hutchinson Ave	Ste 620		Columbus	OH			43235	us	(614) 547-1530		40.113795	-83.009998	["Crosswoods"]	http://www.apex-title.com		["295"]	["Services and Supplies","Real Estate","Real Estate Development and Title Companies"]	1		
f9dfe097-74bf-469c-a2c8-901c4a58a80e	Glendia D. Butts, Msotr	3644 W 48th St			Indianapolis	IN			46228	us	(317) 297-5956	(317) 297-5956	39.842185	-86.223282				["81"]	["Healthcare","Physical Therapy and Rehabilitation"]	1		
900ba574-2cc5-4d22-bf2e-92fb14412abf	Jackson-Madison County School District - Whitehall 3 Year Old Pre School	532 Whitehall St			Jackson	TN			38301	us	(731) 421-4761		35.621472	-88.802956						1		
32889e45-9742-4dfd-9658-9feeb291c900	La Blanca	13809 S Figueroa St			Los Angeles	CA			90061	us	(310) 538-4980		33.906324	-118.282934	["Harbor Gateway North"]					1		
